醫 O
師 O
： O
這 O
個 O
要 O
電 O
腦 O
看 O
才 O
有 O
辦 O
法 O
， O
這 O
是 O
嚴 O
重 O
或 O
一 O
般 O
的 O
。 O

民 O
眾 O
： O
這 O
是 O
沒 O
關 O
係 O
啦 O
。 O

醫 O
師 O
： O
沒 O
關 O
係 O
齁 O
。 O

民 O
眾 O
： O
他 O
一 O
定 O
要 O
有 O
說 O
， O
這 O
樣 O
才 O
有 O
辦 O
法 O
。 O

醫 O
師 O
： O
是 O
是 O
多 O
謝 O
你 O
。 O

民 O
眾 O
： O
沒 O
關 O
係 O
。 O

醫 O
師 O
： O
這 O
樣 O
， O
你 O
過 O
去 O
是 O
有 O
得 O
糖 O
尿 O
病 O
嘛 O
？ O
民 O
眾 O
： O
有 O
。 O

醫 O
師 O
： O
啊 O
出 O
院 O
後 O
還 O
有 O
再 O
發 O
燒 O
或 O
是 O
？ O
民 O
眾 O
： O
欸 O
出 O
院 O
是 O
沒 O
有 O
啦 O
。 O

醫 O
師 O
： O
沒 O
有 O
啦 O
齁 O
。 O

民 O
眾 O
： O
啊 O
， O
有 O
感 O
覺 O
人 O
齁 O
。 O

醫 O
師 O
： O
嘿 O
。 O

民 O
眾 O
： O
比 O
較 O
沒 O
沒 O
有 O
像 O
以 O
前 O
那 O
樣 O
。 O

醫 O
師 O
： O
嘿 O
。 O

民 O
眾 O
： O
全 O
部 O
都 O
沒 O
有 O
力 O
啦 O
。 O

醫 O
師 O
： O
齁 O
。 O

民 O
眾 O
： O
啊 O
現 O
在 O
比 O
較 O
有 O
力 O
了 O
啦 O
， O
不 O
知 O
道 O
是 O
那 O
一 O
天 O
， O
說 O
我 O
貧 O
血 O
齁 O
。 O

醫 O
師 O
： O
稍 O
微 O
貧 O
血 O
。 O

民 O
眾 O
： O
啊 O
幫 O
我 O
輸 O
血 O
進 O
來 O
。 O

醫 O
師 O
： O
他 O
有 O
幫 O
你 O
輸 O
血 O
喔 O
？ O
民 O
眾 O
： O
感 O
覺 O
這 O
樣 O
比 O
較 O
。 O

家 O
屬 O
： O
他 O
有 O
給 O
他 O
輸 O
2 O
5 O
的 O
。 O

民 O
眾 O
： O
是 O
感 O
覺 O
精 O
神 O
啦 O
。 O

醫 O
師 O
： O
李 O
醫 O
生 O
。 O

家 O
屬 O
： O
他 O
就 O
說 O
他 O
貧 O
血 O
。 O

醫 O
師 O
： O
有 O
幫 O
你 O
輸 O
一 O
袋 O
了 O
齁 O
。 O

家 O
屬 O
： O
嘿 O
， O
輸 O
一 O
袋 O
。 O

醫 O
師 O
： O
輸 O
一 O
袋 O
。 O

民 O
眾 O
： O
那 O
個 O
2 O
5 O
。 O

醫 O
師 O
： O
2 O
5 O
。 O

家 O
屬 O
： O
一 O
包 O
小 O
包 O
的 O
。 O

醫 O
師 O
： O
啊 O
你 O
排 O
尿 O
有 O
比 O
較 O
好 O
嗎 O
？ O
排 O
尿 O
的 O
那 O
個 O
？ O
家 O
屬 O
： O
哦 O
他 O
。 O

民 O
眾 O
： O
變 O
成 O
說 O
我 O
晚 O
上 O
齁 O
， O
我 O
都 O
要 O
吃 O
睡 O
眠 O
的 O
。 O

醫 O
師 O
： O
要 O
吃 O
睡 O
眠 O
的 O
。 O

民 O
眾 O
： O
啊 O
我 O
都 O
差 O
不 O
多 O
1 O
1 O
點 O
吃 O
睡 O
到 O
差 O
不 O
多 O
4 O
點 O
。 O

醫 O
師 O
： O
是 O
。 O

民 O
眾 O
： O
開 O
始 O
起 O
來 O
一 O
小 O
時 O
起 O
來 O
一 O
次 O
到 O
天 O
亮 O
， O
都 O
沒 O
有 O
停 O
喔 O
。 O

醫 O
師 O
： O
頻 O
尿 O
欸 O
喔 O
。 O

家 O
屬 O
： O
沒 O
有 O
。 O

民 O
眾 O
： O
沒 O
有 O
， O
廁 O
所 O
。 O

醫 O
師 O
： O
廁 O
所 O
。 O

民 O
眾 O
： O
啊 O
如 O
果 O
。 O

家 O
屬 O
： O
他 O
的 O
腳 O
齁 O
， O
他 O
的 O
腳 O
。 O

醫 O
師 O
： O
水 O
腫 O
齁 O
。 O

家 O
屬 O
： O
在 O
水 O
腫 O
欸 O
， O
他 O
那 O
個 O
藥 O
吃 O
太 O
多 O
， O
你 O
幫 O
他 O
看 O
一 O
下 O
。 O

民 O
眾 O
： O
以 O
前 O
是 O
沒 O
有 O
啦 O
。 O

醫 O
師 O
： O
以 O
前 O
是 O
沒 O
有 O
啦 O
。 O

家 O
屬 O
： O
都 O
沒 O
有 O
。 O

醫 O
師 O
： O
好 O
。 O

民 O
眾 O
： O
啊 O
現 O
在 O
有 O
水 O
腫 O
。 O

醫 O
師 O
： O
現 O
在 O
有 O
水 O
腫 O
齁 O
， O
好 O
。 O

民 O
眾 O
： O
啊 O
我 O
嚇 O
一 O
跳 O
， O
我 O
就 O
沒 O
吃 O
睡 O
